Line	MessageNo	File Name
warning: 0	1501	Specified search path does not exist: 'C:\Documents and Settings\clinhares\Desktop\Batalha Naval\Batalha_Naval'	 
warning: 0	1501	Specified search path does not exist: 'C:\Documents and Settings\XPMUser\Desktop\Batalha Naval\Batalha_Naval'	 
warning: 0	1501	Specified search path does not exist: 'E:\pmc\Batalha Naval\Batalha_Naval'	 
warning: 0	1501	Specified search path does not exist: 'D:\USERS\maw\Desktop\mikroC PRO for PIC\defs'	 
warning: 0	1501	Specified search path does not exist: 'D:\USERS\maw\Desktop\mikroC PRO for PIC\uses\P18'	 
warning: 0	1501	Specified search path does not exist: 'D:\USERS\maw\Desktop'	 
hint: 0	1138	Available RAM: 3947 [bytes], Available ROM: 65536 [bytes]	 
diagnostics: 0	126	All files Preprocessed in 343 ms	 
diagnostics: 0	122	Compilation Started	__t6963c.h
diagnostics: 386	123	Compiled Successfully	grafico.c
hint: 285	1162	Variable 'i' has been eliminated by optimizer	grafico.c
diagnostics: 0	127	All files Compiled in 219 ms	 
hint: 0	1143	Used RAM (bytes): 128 (3%)  Free RAM (bytes): 3819 (97%)	Used RAM (bytes): 128 (3%)  Free RAM (bytes): 3819 (97%)
hint: 0	1143	Used ROM (bytes): 8802 (13%)  Free ROM (bytes): 56734 (87%)	Used ROM (bytes): 8802 (13%)  Free ROM (bytes): 56734 (87%)
diagnostics: 0	125	Project Linked Successfully	grafico.mcppi
diagnostics: 0	128	Linked in 1482 ms	 
diagnostics: 0	129	Project 'grafico.mcppi' completed: 2652 ms	 
diagnostics: 0	103	Finished successfully: 26 mai 2020, 18:27:21	grafico.mcppi
